Word,True POS,Predicted POS
ইনট,noun,noun
লাখূটি,noun,noun
যূকিয়া,root verb,root verb
ভটা,noun,noun
তছৰ,noun,adjective
সমাহিক,adjective,adjective
ক্ষূব্ধতা,noun,adjective
কচ্‌কচা,root verb,root verb
পইছা,noun,noun
একাঁঠু,adjective,adjective
শিকা,root verb,noun
থূম,noun,noun
জকা,noun,noun
অনিল,noun,noun
হে,preposition,preposition
ঘন,noun,noun
ভৰি,noun,noun
একসিৰা,noun,adjective
লাচ খা,root verb,root verb
ঐৰাৱত,noun,adjective
খ্যাত,adjective,noun
একদম,adjective,noun
একতাল,noun,noun
খৰিচা,noun,noun
দইল,noun,noun
সমাজ,noun,adjective
থলী,noun,noun
ৰেং,noun,noun
আদা,noun,noun
ক্ষালিত,noun,adjective
লং,noun,noun
থাপনা,noun,noun
চগা,noun,adjective
টূকিয়া,root verb,root verb
অপচয়,noun,adjective
ইমানতে,adverb,adverb
শৰণাগত,adjective,noun
ক্ষৰণ,noun,noun
ফেৰফেৰা,root verb,adjective
কফি,noun,noun
ধৰমী,adjective,noun
ককা,noun,noun
ঘোল্‌,root verb,root verb
ৰট্‌,root verb,root verb
ৰীতি,noun,noun
ঘূৰি,noun,noun
ৰহ্‌,root verb,root verb
খোঁচৰ,adjective,noun
অধৰ,noun,adjective
একাদশ,noun,noun
অপসৰণ,noun,noun
লায়ক,adjective,noun
ঘৰ কৰ্‌,root verb,root verb
বছৰি,adverb,noun
ওখোৰা-মোখোৰা,adjective,noun
গিলাচ,noun,noun
আঁট্,root verb,root verb
তুমি,pronoun,noun
ঘাম,noun,noun
ক্ষয়,noun,noun
বনাম,preposition,noun
উচটনি,adjective,noun
ঘৰ,noun,noun
ডাং,noun,noun
জমা,root verb,noun
চপা,root verb,root verb
তোমাৰ,pronoun,noun
ঘোচ,noun,noun
আখৰ,noun,noun
শিষ্য,noun,noun
আদৰ,noun,noun
বইট্‌,root verb,root verb
ক্ষেমঙ্কৰ,adjective,noun
উঃ,preposition,noun
টূপ,noun,noun
লাদ্,root verb,noun
খেজাল,root verb,adjective
কাম,noun,noun
ওনা-ওনে,adverb,adverb
ফব্ফ‌ৰা,adverb,noun
খতম,noun,noun
নকৈ,adverb,noun
আক্ষেপ,noun,noun
একাঠী,adjective,adjective
ওড়,noun,noun
যাঠি,noun,adjective
একবাক্যে,adverb,noun
চকলিয়া,root verb,root verb
মাজে মাজে,adverb,adverb
কিমান,adjective,noun
ডালি,noun,noun
ক্ষিপ্ৰ,adjective,noun
দগা,noun,noun
যথাক্ৰমে,adverb,noun
তৰল,adjective,noun
পৰিমিক,adjective,adjective
খপিয়া,root verb,root verb
ৰেচম,noun,noun
একনিষ্ঠ,adjective,noun
মহাজন,noun,adjective
খঙাল,adjective,noun
তীৰ,noun,noun
ডোবা,noun,adjective
অক্ষ‍ি,noun,noun
যূথ,noun,noun
ঘাত,noun,root verb
কেই,pronoun,pronoun
বননি,noun,noun
নফৰ,noun,noun
ক্ষীৰোদ,noun,noun
গলা,root verb,noun
লগতে,adverb,adverb
শাপ,noun,noun
ওখ,noun,noun
ককাই,noun,noun
ছেল খা,root verb,root verb
ধেনা,adjective,adverb
ক্ষৰিত,adjective,adjective
ওকট-পাকট,noun,adjective
টিক্‌,root verb,root verb
টং কৰ্‌,root verb,root verb
শতৰঞ্চি,noun,noun
টেপা,noun,adverb
যশোদা,noun,noun
আপদ,noun,noun
ইনাম,noun,noun
লূচি,noun,noun
ৰাজভোগ,noun,noun
ঊৰ্ণা,noun,noun
ঘাগৰি,noun,noun
গম্য,adjective,adjective
হাতী,noun,noun
গৰম,noun,noun
খোজ্‌,root verb,root verb
ক্ষীণকায়,adjective,adjective
আইনা,noun,noun
আডৰণ,adjective,noun
উগাৰ্‌,root verb,root verb
ওকট্,root verb,noun
চমূ,noun,noun
ৰোল,noun,noun
শক্তি,adjective,noun
যথোচিত,adjective,noun
ইমানখিনিতে,adverb,adverb
ডকা,noun,noun
একতৰফা,adjective,adjective
মালা,noun,noun
ছাট,noun,root verb
ঠেল্‌,root verb,root verb
ঠিক,adjective,noun
একতাৰা,noun,adjective
যজ্ঞোপবীত,noun,noun
ঘৰে-পৰে,adverb,adverb
লাথি,noun,noun
যাতে তাতে,pronoun,adverb
আঢ্য,adjective,adjective
ডবা,root verb,adjective
ইহাত-সিহাত,adjective,noun
ডাইনেমো,noun,noun
মদন,noun,noun
ডাঁৰ,noun,noun
গতিকে,adverb,noun
ঔদাসীন্য,noun,adjective
গঞা,adjective,noun
শম,noun,noun
ৰোহ,noun,noun
যূগী,noun,noun
উঠা,root verb,noun
যশ,noun,noun
যতেক,adjective,noun
শিখৰ,noun,noun
যজন,noun,noun
শব্দাৰ্থ,noun,noun
শোচনীয়,adjective,noun
শলাগ্‌,root verb,root verb
তৰা,root verb,noun
ৰং,noun,noun
শক্তি,noun,noun
ভগা,root verb,noun
জৰি,noun,noun
উট্‌,root verb,root verb
ক্ষূভিত,adjective,adjective
ৰথ্‌,root verb,root verb
কণিয়া,root verb,root verb
লাল,adjective,noun
ঠেনূ,noun,noun
শিপা,noun,noun
ঢেল,noun,noun
জনা,adjective,noun
লঘোন,noun,noun
লাদ,noun,noun
খাজনা,noun,root verb
শলাশল,adjective,noun
ৰাহি, noun,noun
উপনাম,noun,noun
তৎকালে,adverb,noun
ওজন,noun,noun
উঘা,root verb,root verb
যাপিত,adjective,noun
তমাম,adjective,noun
ওকালতি,noun,noun
অসাধাৰণ,adjective,noun
কপিকল,noun,adjective
খলপা-খলপ,adjective,noun
ৰং চা,root verb,noun
চং,noun,noun
দম্‌,root verb,root verb
একশৰণ,noun,noun
পকেট,noun,noun
জৰ,noun,noun
ওন্দোলা,root verb,noun
লান,noun,noun
ইপাৰ,noun,noun
লাইব্ৰেৰি,noun,noun
লাট,noun,adjective
দীপক,noun,noun
উচাল,noun,noun
ঔদ্ধত্য,noun,noun
ঘটক,noun,noun
ষড়ৰিপূ,noun,noun
খকমক,noun,noun
আমনি,noun,noun
ঔদাৰ্য,noun,noun
সততে,adverb,pronoun
য'ব,pronoun,noun
শকপা,root verb,noun
ওলোম,noun,noun
দৰব,noun,noun
ঠাচ কৰে,adverb,adjective
উদ,noun,noun
অজলা,adjective,noun
ঝঞ্জা,noun,adjective
যথা,preposition,noun
ৰক্ষিত,adjective,noun
যতী,noun,noun
শো,root verb,noun
ললিত-কলা,noun,adjective
যহা,root verb,noun
বৰাত,noun,noun
শমিত,adjective,noun
লাই দি,root verb,noun
ৰাইজ,noun,noun
ক্ষিতি,noun,noun
ছোৱা,root verb,noun
উদগা,root verb,noun
ক্ষিপ্ত,adjective,noun
লেটা,noun,adverb
ৰাজসিক,adjective,adjective
টানি-মানি,adverb,noun
গদিষা,root verb,noun
ঔ-লতা,noun,noun
ওকণী,noun,noun
কল,noun,noun
সংকৰ,noun,noun
ধূপা,root verb,noun
ষোল্ল,noun,noun
মইনা,noun,noun
ছল্‌,root verb,root verb
আকাশ,noun,noun
একাধিক,adjective,adjective
অসম,noun,adjective
ইউনানী,noun,adjective
ৰূগীয়া,adjective,adjective
ইঃ,preposition,pronoun
শৰণাপন্ন,adjective,noun
ইত্যাদি,preposition,noun
শতেক,adjective,noun
ৰচনা,noun,adjective
চাকি,noun,noun
গূণ্‌,root verb,root verb
ক্ষৌৰিক,noun,adjective
ছটা,noun,root verb
ঢোল,noun,noun
যোগনীয়া,adjective,adjective
ইয়ওা,noun,noun
কোণ,noun,noun
ঘৃণা,noun,noun
লদা,noun,noun
লেটা,root verb,adverb
ছহিদ,noun,noun
গ্ৰীৱা,noun,adjective
যৌথ,adjective,noun
নগৰ,noun,noun
ষট্‌,noun,root verb
কবি,noun,noun
পৰা,preposition,root verb
ঘৈয়া,root verb,noun
ঔ,noun,noun
যোনি,noun,noun
ঠিক ঠাক,noun,adjective
ঠাই,noun,noun
বগৰা,root verb,noun
ৰন,noun,noun
একক,adjective,noun
শতাব্দ,noun,noun
ৰূপালী,adjective,adjective
উকি,noun,noun
ক্ষূদ্ৰ,adjective,adjective
ঘৰ্ষন,adjective,noun
একাংগী,noun,adjective
ক্ষয়িত,adjective,adjective
ওপৰা-উপৰি,noun,noun
ঠঙনা,noun,noun
ঘোঁঁকা,noun,noun
লাং,noun,noun
উওম,adjective,noun
শিচ,noun,noun
আজৰি,noun,noun
ঢলা,root verb,noun
লহৰ,noun,noun
মনে মনে,adverb,adverb
টেপা খা,root verb,root verb
তঙা,root verb,noun
ধন,noun,noun
ষষ্ঠ,adjective,noun
লিকটা,adjective,noun
লাল,noun,noun
ঊৰু,noun,adjective
ঘেৰ,noun,adjective
ঐদহে-বৈদহে,adverb,adverb
গ্ৰহ,noun,noun
লাঠি,noun,adjective
গেলাব,noun,noun
খৰিকা,noun,noun
যদি,preposition,noun
লিখা,adjective,noun
যমল,adjective,noun
মনিহাৰী,adjective,noun
ঠাহ্‌,root verb,root verb
যূগ,noun,noun
হবলা,preposition,noun
ঘিলা,noun,noun
ঠূম,noun,noun
ভিজা,root verb,noun
জগ্‌,root verb,root verb
থিত,adjective,adjective
হকিকত,noun,adjective
থূপ,noun,noun
ধল,adjective,noun
টঙালি,noun,noun
গবৰ্,noun,noun
টিপি-টাপি,adverb,noun
হয়,preposition,noun
ঐকতান,noun,noun
লিপিত খা,root verb,root verb
ফূৰা,root verb,noun
সকাম,adjective,noun
একণীয়া,adjective,adjective
টূট্‌,root verb,root verb
শইকীয়া,noun,adjective
ক্ষন্তব্য,adjective,noun
ঔদ্বাহিক,adjective,adjective
ৰৈখিক,adjective,noun
উলিয়া,root verb,noun
ক্ষৌণী,noun,noun
টিন,noun,noun
খ্যাত-মনত,adjective,noun
আঁকোৰা,adjective,adjective
কাইলৈ,adverb,noun
ধূলি,noun,noun
লিতা,adjective,noun
থঙা,noun,noun
লাক-পাক,adjective,noun
গেজেৰা,noun,adjective
ডক্‌,noun,root verb
ঔপনিৱেশিক,adjective,adjective
তলব,noun,noun
ক্ষান্তি,noun,noun
ৰংঘৰ,noun,noun
ফণি,noun,noun
ঐষিক,noun,noun
ঘোল,noun,noun
ক্ষূব্ধ,adjective,adjective
পয়া,noun,root verb
ঢৌ-জোৱাৰ,noun,noun
এককথীয়া,adjective,adjective
ঘৈণী,noun,noun
উৎপাত,noun,adjective
ডিক্ৰি,noun,noun
শংখিনী,noun,noun
আৰণ্য,noun,adjective
হলী,noun,noun
মহামাৰী,noun,noun
ৰৌপ্য,noun,noun
কপাল,noun,noun
ইনদূ,noun,noun
শত,noun,adjective
ৰহিত,adjective,adjective
শকুনি,noun,noun
গায়ন,noun,noun
শঁকা-আলু,noun,adjective
ফোন,noun,noun
ডাইল,adjective,noun
ওংকাৰ,noun,noun
টূকি-টাকি,adverb,noun
গূহা,noun,adjective
লাগনি,noun,noun
ঢল,noun,noun
ৰামকল,noun,noun
খোঁচা,noun,noun
চফা,adjective,noun
ক্ষৌৰ-কৰ্ম,noun,noun
যাচক,noun,noun
ছেলা,root verb,adjective
লাগাম,noun,noun
ক্ষেএ,noun,noun
ছপা,adjective,root verb
ঘাট্‌,root verb,root verb
তদৱধি,adverb,noun
ছোৱালী,noun,adjective
শকাব্দ,noun,noun
ঢক,noun,noun
ন,adjective,noun
ওতপ্ৰোত,adjective,noun
একমুখে,adverb,noun
ওঁঠ,noun,noun
শণ,noun,noun
যোগৰ,noun,noun
জাতি,noun,noun
ডিমা,noun,adjective
যামল,adjective,noun
শতাংশ,noun,noun
বখলা,noun,noun
হগনা,adjective,noun
খাৰ,noun,noun
আলচ্,root verb,root verb
যোগা,root verb,adjective
ক্ষীণ,adjective,noun
কইনা,noun,noun
একাগ্ৰ,adjective,adjective
ঐন্দ্ৰজালিক,adjective,noun
ক্ষোদিত,adjective,noun
ঔপসৰ্গিক,adjective,adjective
আওখাল্,root verb,adjective
যান,noun,noun
ৰূপক,noun,noun
নথৈ,adverb,noun
লৰচৰ,noun,noun
জলম,noun,noun
শঁতা,root verb,noun
থা,root verb,root verb
ঊধৰ্ব,adjective,noun
ইনধন,noun,noun
ৰোদন,noun,noun
ষেত্‌কপৰা,noun,adjective
উচল,adjective,noun
ৰেঙা,root verb,noun
প°ইতা,noun,noun
টিমক,adjective,noun
লৰি-ঢাপৰি,adverb,noun
অথচ,preposition,noun
খৰ,noun,noun
যএ তএ,adverb,pronoun
ঐতিহ্য,noun,noun
খলপ,noun,noun
ভাং,root verb,noun
শঠ,adjective,noun
শাসিত,adjective,adjective
অপৰিনত,adjective,noun
জপনা,noun,noun
উহনি,noun,noun
খেতো,pronoun,noun
ছেক্‌,root verb,root verb
তথ্য,noun,noun
ঊধ্,root verb,noun
থৰ,noun,noun
পতি,preposition,noun
ডিলা,noun,adjective
ওত,noun,preposition
গমন,noun,noun
তক,noun,adjective
উতলা,root verb,root verb
ৰূপোৱালী,adjective,adjective
ওলা,root verb,noun
চক,noun,noun
ঈদ্গাহ,noun,noun
লতা,noun,noun
ঔৰ্ধ্বদেহিক,adjective,noun
আৰতি,noun,noun
ডুলি,noun,noun
গূজৰত,preposition,adjective
অক্ষৰ,noun,adjective
গছ,noun,noun
ৰাশি,noun,noun
ঈশবৰ,noun,noun
