Word,Predicted POS
উদ্যান,noun
শস্যৰ,adjective
বাবে,root verb
মাটি,noun
চহাবলৈ,noun
সাধাৰণতে,adverb
জন্তু,noun
চালিত,noun
বা,root verb
ট্ৰেক্টৰ,noun
বা,root verb
পাৱাৰটিলাৰ,noun
চালিত,noun
এম,noun
বি,noun
নাঙল,noun
কাঁহীযুক্ত,adjective
নাঙল,noun
কাল্টিভেটৰ,noun
হেৰ’,noun
ৰটাভেটৰ,noun
আদি,preposition
ব্যৱহাৰ,noun
কৰা,root verb
হয়,preposition
শস্য,adjective
ৰক্ষাৰ,noun
বাবে,root verb
বিভিন্ন,noun
স্প্ৰেয়াৰ,noun
যেনে,preposition
পিঠিত,adjective
লোৱা,verb
নেপচেক,noun
স্প্ৰেয়াৰ,noun
পদচালিত,noun
স্প্ৰেয়াৰ,noun
ৰকিং,noun
স্প্ৰেয়াৰ,noun
আদি,preposition
স্থানীয়,adjective
খেতিয়কসকলে,pronoun
ব্যৱহাৰ,noun
কৰা,root verb
দেখা,noun
যায়,noun
উদ্যান,noun
শস্যত,adjective
জলসিঞ্চনৰ,noun
বাবে,root verb
সুক্ষ্ম,adjective
জলসিঞ্চন,noun
ড্ৰিপ,noun
আৰু,noun
স্প্ৰিকলাৰ,noun
পাম্পছেট,noun
আদি,preposition
ব্যৱহাৰ,noun
কৰা,root verb
হয়,preposition
অসমত,adjective
উত্পাদনৰ,noun
মাত্ৰা,noun
কমি,noun
থকাৰ,noun
প্ৰধান,noun
কাৰণ,noun
হৈছে,verb
ইয়াত,noun
ট্ৰেক্টৰৰ,noun
বহুল,noun
প্ৰয়োগ,noun
এতিয়াও,noun
হোৱা,noun
নাই,noun
বৰ্তমান,noun
উদ্ভাৱন,noun
হোৱা,noun
প্ৰায়বোৰ,noun
উন্নত,noun
কৃষি,noun
সঁজুলি,adjective
যেনে,preposition
মাটি,noun
চহোৱা,noun
জলসিঞ্চন,noun
বীজ,noun
সিচাঁ,noun
কঠিয়া,noun
ৰোৱা,noun
ঔষধ,noun
চটিওৱা,noun
শস্যকটা,adjective
মৰণা,noun
মৰা,noun
বোজা,root verb
কঢ়িওৱা,noun
গাত,noun
খন্দা,noun
আদিত,adjective
ব্যৱহৃত,adjective
উন্নত,noun
যন্ত্ৰপাতিসমূহ,noun
ট্ৰেক্টৰৰ,noun
সহায়ত,root verb
চলাব,noun
পাৰি,noun
অসমৰP,noun
খেতিয়কসকলে,pronoun
বৰ্তমানেও,adverb
বহুলভাৱে,adverb
ব্যৱহাৰ,noun
কৰা,root verb
মাটি,noun
চহোৱা,noun
সঁজুলিবিধ,adjective
হৈছে,verb
দেশী,noun
নাঙল,noun
যত,adjective
এটা,noun
হেলনীয়া,adjective
কাঠৰ,noun
টুকুৰা,noun
থাকে,noun
যিটো,noun
মাটিত,adjective
লগাই,noun
টানি,noun
নিলে,adverb
মাটিত,adjective
চপৰাৰ,noun
সৃষ্টি,noun
কৰে,noun
আৰু,noun
যেতিয়া,adverb
ইয়াক,noun
চপৰাৰ,noun
মাজেৰে,noun
টানি,noun
নিয়া,noun
হয়,preposition
তেতিয়া,root verb
চপৰাবোৰ,noun
ভাঙি,noun
সৰু,noun
সৰু,noun
মিহি,noun
চপৰাৰ,noun
সৃষ্টি,noun
কৰে,noun
ফলীয়া,adjective
নাঙল,noun
ষ্টিলেৰে,noun
গঠিত,noun
বাবে,root verb
ইয়াক,noun
বহুতে,preposition
লোহাৰ,noun
নাঙল,noun
বুলিও,noun
কয়,noun
আৰু,noun
ইয়াৰ,noun
কাম,noun
হৈছে,verb
সিৰলু,noun
এটা,noun
মাটিৰ,noun
পৰা,root verb
ফাটি,noun
লৈ,noun
যিমানদূৰ,noun
সম্ভৱ,adjective
ইয়াক,noun
ঢিলা,noun
আৰু,noun
গুৰি,noun
কৰি,noun
লুটিয়াই,noun
থৈ,adverb
যোৱা,noun
যাতে,noun
ওপৰৰ,noun
ঘাঁহবনখিনি,noun
পচন,noun
হয়,preposition
লিকটা,adjective
শুকান,noun
আৰু,noun
কঠিন,noun
মাটি,noun
শিল,noun
শিপা,noun
আদিৰে,noun
ভৰি,noun
থকা,adjective
মাটি,noun
আৰু,noun
যেতিয়া,adverb
কিছু,noun
দলৈকে,noun
মাটি,noun
চহাব,noun
লগা,root verb
হয়,preposition
তেতিয়া,root verb
ফলীয়া,adjective
নাঙলৰ,noun
সলনি,noun
ডিস্ক,noun
নাঙল,noun
ব্যৱহাৰ,noun
কৰা,root verb
হয়,preposition
কাল্টিভেটৰ,noun
বা,root verb
টিলাৰ,noun
দ্বিতীয়,adjective
পৰ্য্যায়ৰ,adjective
মাটি,noun
চহোৱাৰ,adjective
বাবে,root verb
প্ৰাথমিক,adjective
চহ,preposition
কৰি,noun
থোৱা,noun
মাটিত,adjective
গজা,root verb
ঘাঁহ,root verb
বন,noun
নাশ,noun
কৰিবলৈ,adverb
আৰু,noun
কেতিয়াবা,noun
নিৰণি,noun
দিবলৈ,adverb
শাৰীকৈ,noun
ৰোৱা,noun
শস্যৰ,adjective
মাজেৰে,noun
চলাবলৈও,noun
ব্যৱহাৰ,noun
কৰা,root verb
হয়,preposition
ট্ৰেডল,noun
পাম্প,noun
হল,noun
ভৰিৰে,noun
চলাব,noun
পৰা,root verb
এবিধ,noun
অতি,noun
কম,noun
খৰচী,noun
দমকল,noun
যাৰ,noun
বাবে,root verb
ক্ষুদ্ৰ,noun
আৰু,noun
উপান্ত,root verb
কৃষকৰ,noun
জলসিঞ্চন,noun
সহজলভ্য,adjective
হয়,preposition
উত্স,preposition
কৃষি,noun
বিজ্ঞান,noun
কেন্দ্ৰ,adjective
শোণিতপুৰ,adjective
অসমত,adjective
উদ্যান,noun
শস্যৰ,adjective
যান্ত্ৰিকী,adjective
কৰণৰ,noun
প্ৰভাৱ,noun
এতিয়াও,noun
পৰা,root verb
নাই,noun
অসমত,adjective
এতিয়াও,noun
উদ্যান,noun
শস্য,adjective
বাণিজ্যিক,adjective
ভিত্তিত,noun
কৰা,root verb
নহয়,noun
গাঁত,noun
খান্দিবলৈ,adjective
পাৱাৰ,noun
টিলাৰ,noun
বা,root verb
ট্ৰেক্টৰ,noun
চালিত,noun
গাত,noun
খন্দা,noun
যন্ত্ৰ,adjective
ব্যৱহাৰ,noun
কৰা,root verb
হয়,preposition
ফলমুলৰ,noun
খেতিত,noun
ট্ৰেক্টৰ,noun
বা,root verb
পাৱাৰ,noun
টিলাৰ,noun
চালিত,noun
চহ,preposition
কৰা,root verb
সঁজুলি,adjective
ব্যৱহাৰ,noun
কৰা,root verb
হয়,preposition
ফলমুলৰ,noun
খেতিত,noun
বনবাত,adjective
আদি,preposition
নিৰাবলৈ,adverb
যন্ত্ৰ,adjective
চালিত,noun
নাঙল,noun
ব্যৱহাৰ,noun
কৰা,root verb
হয়,preposition
শাক,noun
পাচলিৰ,noun
গুটি,noun
দিয়া,noun
যন্ত্ৰও,adjective
উদ্ভাৱন,noun
হৈছে,verb
গছৰ,noun
ডাল,noun
আদি,preposition
চিকুনাবলৈ,adjective
ব্যৱহাৰ,noun
কৰা,root verb
যন্ত্ৰও,adjective
অসমতP,adjective
ব্যৱহাৰ,noun
কৰা,root verb
হয়,preposition
উদ্যান,noun
শস্যত,adjective
জলসিঞ্চনৰ,noun
বাবে,root verb
সুক্ষ্ম,adjective
জলসিঞ্চনৰ,noun
ব্যৱস্থাও,preposition
কৰা,root verb
হয়,preposition
জলসিঞ্চনৰ,noun
ক্ষেত্ৰত,adjective
ড্ৰিপক,noun
স্প্ৰিকলাৰ,noun
জলসিঞ্চন,noun
ব্যৱস্থা,adjective
অতি,noun
উত্তম,adjective
পানীৰ,noun
অপচয়,adjective
ৰোধ,noun
কৰিবলৈ,adverb
জলসিঞ্চনৰ,noun
ব্যৱস্থা,adjective
কৰা,root verb
হয়,preposition
পানী,noun
উঠাবলৈও,adjective
বিভিন্ন,noun
প্ৰকাৰৰ,noun
পাম্পছেট,noun
ব্যৱহাৰ,noun
কৰা,root verb
হয়,preposition
খেতিত,noun
ব্যৱহাৰ,noun
কৰা,root verb
সকলোবোৰ,noun
যন্ত্ৰই,preposition
ট্ৰেক্টৰৰ,noun
সহায়ত,root verb
চলাব,noun
পাৰি,noun
পাৱাৰ,noun
টিলাৰ,noun
ট্ৰেক্টৰৰেই,noun
এটা,noun
ভাগ,noun
এখন,noun
ডাঙৰ,adjective
ট্ৰেক্টৰে,noun
কৰিব,noun
পৰা,root verb
প্ৰায়বোৰ,noun
কামেই,noun
পাৱাৰ,noun
টিলাৰে,noun
কৰিব,noun
পাৰে,noun
পাৱাৰ,noun
টিলাৰে,noun
কৰিব,noun
পৰা,root verb
কামৰ,noun
শক্তিৰ,noun
সীমা,root verb
কিছু,noun
সীমিত,adjective
ক্ষুদ্ৰ,noun
কৃষক,noun
সকলৰ,noun
বাবে,root verb
ই,pronoun
অতি,noun
উত্তম,adjective
আধুনিক,adjective
বহু,noun
উপযোগী,noun
কৃষি,noun
ট্ৰেক্টৰ,noun
এখনৰ,noun
সহায়ত,root verb
কৃষি,noun
কৰ্ম,noun
সমূহ,noun
সুচলভাৱে,adverb
সম্পন্ন,adjective
কৰিবলৈ,adverb
খুটি,noun
নাটি,noun
সমূহ,noun
ভালদৰে,noun
আয়ত্ব,adjective
কৰি,noun
লব,noun
লাগে,adjective
আজিকালি,noun
মাটি,noun
চহ,preposition
কৰা,root verb
বীজ,noun
সিঁচা,noun
আদি,preposition
নানা,noun
সঁজুলি,adjective
উদ্ভাৱন,noun
হৈছে,verb
এই,pronoun
সঁজুলিবোৰ,noun
ট্ৰেক্টৰত,adverb
সংযোগ,noun
কৰি,noun
ললে,noun
ট্ৰেক্টৰ,noun
চলোৱাৰ,noun
সময়ত,adjective
চালকৰ,noun
আসনৰ,root verb
পৰাই,noun
নিয়ন্ত্ৰণ,noun
কৰিব,noun
পৰা,root verb
যায়,noun
জলসিঞ্চনৰ,noun
পাম্প,noun
ধান,noun
বনা,root verb
কল,noun
ধান,noun
মৰা,noun
জেনেৰেটৰ,adjective
কীটনাশক,adjective
দৰৱ,noun
প্ৰয়োগ,noun
কৰা,root verb
আদি,preposition
কামো,noun
ট্ৰেক্টৰখনৰ,noun
সহায়ত,root verb
কৰিব,noun
পাৰি,noun
উত্তৰ,adjective
পূৰ্বাঞ্চলৰ,noun
ৰাজ্যসমূহৰ,noun
ভিতৰত,adjective
অসম,noun
প্ৰাকৃতিক,adjective
সম্পদত,pronoun
চহকী,noun
এই,pronoun
সম্পদসমূহেৰে,adjective
অসমত,adjective
ব্যাপক,noun
পৰিসৰত,noun
সৰু,noun
বৰ,noun
উদ্যোগ,noun
গঢ়ি,noun
তোলাৰ,noun
প্ৰচুৰ,noun
সম্ভাৱনা,noun
আছে,preposition
কিন্তু,adjective
বৰ্তমানেও,adverb
ভাৰতৰP,noun
অন্যান্য,adjective
ৰাজ্যবোৰৰ,noun
তুলনাত,noun
অসমৰ,noun
ঔদ্যোগিক,noun
গাঁথনি,noun
দুৰ্বল,noun
এক,noun
শতিকাৰো,noun
পূৰ্বেই,noun
অসমতP,adjective
ঔদ্যোগিকৰণৰ,adjective
পাতনি,noun
মেলা,noun
হৈছিল,noun
যদিও,noun
ইয়াত,noun
আজিও,preposition
উল্লেখযোগ্যভাৱে,noun
বৃহৎ,noun
উদ্যোগ,noun
গঢ়ি,noun
উঠা,root verb
নাই,noun
উদ্যোগ,noun
স্থাপনৰ,noun
বাবে,root verb
প্ৰয়োজনীয়,adjective
আধাৰগত,adjective
সা,root verb
সুবিধাৰ,adjective
অভাৱত,noun
ৰাজ্যখনৰ,noun
ঔদ্যোগীকৰণ,noun
মন্থৰ,noun
কৰি,noun
তুলিছে,adverb
ৰাজ্যখনৰ,noun
প্ৰধান,noun
উদ্যোগ,noun
হ`ল,noun
চাহ,preposition
কয়লা,noun
আৰু,noun
তেল,adjective
স্বাধীনতাৰ,adjective
আগৰে,noun
পৰাই,noun
অসমত,adjective
এই,pronoun
তিনিটা,noun
উদ্যোগে,noun
গঢ়,noun
লৈ,noun
উঠিছে,adverb
উজনি,noun
অসমৰ,noun
ডিগবৈ,adverb
দুলিয়াজান,noun
নাহৰকটীয়া,noun
লাকুৱা,adjective
মৰাণ,noun
ৰুদ্ৰসাগৰৰ,noun
ভূগৰ্ভৰ,noun
পৰা,root verb
প্ৰচুৰ,noun
পৰিমাণে,noun
খাৰুৱা,noun
তেল,adjective
নিষ্কাশন,noun
কৰা,root verb
হৈছে,verb
নতুন,noun
নতুন,noun
তৈলক্ষেত্ৰৰো,noun
সম্ভেদ,noun
পোৱা,noun
গৈছে,adverb
সেইবিলাকতো,adverb
প্ৰচুৰ,noun
খাৰুৱা,noun
তেল,adjective
শোধন,noun
কৰিবৰ,noun
বাবেই,noun
অসমত,adjective
পোন,noun
প্ৰথমে,noun
ইংৰাজ,noun
চৰকাৰে,noun
ডিগবৈত,noun
এটা,noun
শোধনাগাৰ,noun
প্ৰতিষ্ঠা,noun
কৰিছিল,noun
এইটো,noun
আছিল,noun
এছিয়াৰ,noun
ভিতৰত,adjective
প্ৰথমটো,noun
শোধনাগাৰ,noun
স্বৰাজোত্তৰ,adverb
কালত,noun
অসমৰ,noun
নুনমাটি,noun
আৰু,noun
বঙাইগাঁৱত,noun
দুটা,noun
শোধনাগাৰ,noun
প্ৰতিষ্ঠা,noun
কৰা,root verb
হয়,preposition
কিন্তু,adjective
এই,pronoun
অঞ্চলত,adjective
পোৱা,noun
বৃহৎ,noun
পৰিমাণৰ,noun
তেল,adjective
শোধন,noun
কৰিবলৈ,adverb
এই,pronoun
কেইটা,noun
শোধনাগাৰে,noun
যথেষ্ট,noun
নহয়,noun
সেয়ে,preposition
নুমলীগড়ত,noun
এটা,noun
শোধনাগাৰ,noun
স্থাপন,noun
কৰা,root verb
হয়,preposition
খাৰুৱা,noun
তেল,adjective
শোধন,noun
কৰাৰ,noun
পিছত,preposition
যি,pronoun
উপজাত,root verb
দ্ৰব্য,adjective
পোৱা,noun
যায়,noun
তাৰ,pronoun
পৰাও,noun
নানান,noun
সৰু,noun
সুৰা,adjective
উদ্যোগ,noun
স্থাপনৰ,noun
সম্ভাৱনা,noun
আছে,preposition
বঙাইগাঁৱত,noun
এটা,noun
পেত্ৰোকেমিকেল,adjective
প্ৰকল্প,noun
আছে,preposition
ৰাজ্যখনত,noun
অন্যান্য,adjective
ঠাইতে,noun
উদ্যোগ,noun
গঢ়ি,noun
তুলি,noun
ৰাজ্যখনৰ,noun
সমৃদ্ধিত,adjective
অৰিহণা,noun
যোগাব,noun
পৰা,root verb
যায়,noun
প্ৰস্তাৱিত,preposition
গেছ,noun
ক্ৰেকাৰ,noun
প্ৰকল্প,noun
আজিও,preposition
গঢ়ি,noun
নুঠিল,noun
খাৰুৱা,noun
তেলৰ,noun
লগত,adjective
যি,pronoun
প্ৰচুৰ,noun
পৰিমাণৰ,noun
গেছ,noun
পোৱা,noun
যায়,noun
বৰ্তমান,noun
তাৰ,pronoun
সামান্য,noun
পৰিমাণ,noun
ইন্ধান,noun
ৰন্ধন,noun
গেছ,noun
হিচাপে,noun
ব্যৱহাৰ,noun
কৰি,noun
বাকীখিনি,noun
পুৰি,noun
পেলোৱা,noun
হৈছে,verb
তাৰো,noun
ওপৰত,noun
ভিত্তি,noun
কৰি,noun
উদ্যোগ,noun
গঢ়ি,noun
তোলাৰ,noun
প্ৰচুৰ,noun
সম্ভাৱনা,noun
আছে,preposition
সেইদৰে,preposition
কয়লাৰ,noun
পৰা,root verb
ৰং,noun
সুগন্ধি,noun
দ্ৰব্য,adjective
নেপথোলিন,noun
বেনজিন,adverb
আদি,preposition
উৎপাদন,noun
কৰিব,noun
পাৰি,noun
ৰাজ্যখনৰ,noun
লেখত,noun
ল`বলগীয়া,adjective
উদ্যোগ,noun
হ`ল,noun
চাহ,preposition
উদ্যোগ,noun
চাহ,preposition
উদ্যোগ,noun
অসমৰP,noun
অৰ্থনীতিত,noun
এক,noun
উল্লেখযোগ্য,noun
বৰঙণি,noun
আগবঢ়াইছে,noun
প্ৰসংগত,adjective
উল্লেখযোগ্য,noun
ৰাজ্যখনৰ,noun
মুঠ,noun
পঞ্জীভুক্ত,noun
কাৰখানাৰ,noun
এক,noun
বুজন,noun
অংশ,noun
হ`ল,noun
চাহপাতৰ,noun
কাৰখানা,noun
চাহ,preposition
উদ্যোগক,noun
কেন্দ্ৰ,adjective
কৰি,noun
গুৱাহাটীতP,noun
এটা,noun
চাহ,preposition
নিলাম,noun
কেন্দ্ৰ,adjective
গঢ়ি,noun
উঠিছে,adverb
অসমৰP,noun
প্ৰায়,noun
লাখ,noun
হাজাৰ,noun
হেক্টৰ,noun
মাটি,noun
চাহবাগানৰ,noun
অন্তৰ্গত,preposition
ভাৰতৰP,noun
মুঠ,noun
চাহপাতৰ,noun
আধাতকৈ,adjective
বেছি,noun
চাহপাত,noun
অসমতেP,adverb
উৎপাদন,noun
হয়,preposition
অসমতP,adjective
৮০০খন,noun
চাহ,preposition
বাগিচা,adjective
আছে,preposition
চনত,noun
গুৱাহাটীতP,noun
চাহ,preposition
নিলাম,noun
কেন্দ্ৰ,adjective
স্থাপন,noun
হয়,preposition
ৰাজ্যখনৰ,noun
অৰ্থনীতিত,noun
ই,pronoun
প্ৰচুৰ,noun
প্ৰভাৱ,noun
পেলাইছে,noun
যোৰহাটতP,noun
অৱস্থিত,adverb
অসমP,noun
কৃষি,noun
বিশ্ববিদ্যালয়,noun
উত্তৰ,adjective
পূৰ্বাঞ্চলৰ,noun
একমাত্ৰ,adjective
কৃষি,noun
বিশ্ববিদ্যালয়,noun
চনত,noun
স্থাপিত,adjective
হোৱা,noun
এই,pronoun
বিশ্ববিদ্যালয়,noun
খনে,noun
অসমত,adjective
কৃষি,noun
শিক্ষা,noun
গৱেষণা,noun
আৰু,noun
কৃষি,noun
সম্প্ৰসাৰণৰ,adjective
হকে,noun
কাম,noun
কৰি,noun
আহিছে,noun
প্ৰথমে,noun
যোৰহাটৰ,adjective
অসম,noun
কৃষি,noun
মহাবিদ্যালয়,adjective
আৰু,noun
গুৱাহাটীৰ,noun
অসম,noun
পশু,noun
চিকিৎসা,adjective
মহাবিদ্যালয়,adjective
দুখনক,noun
কেন্দ্ৰ,adjective
বিন্দু,adjective
হিচাপে,noun
লৈ,noun
এই,pronoun
বিশ্ববিদ্যালখন,noun
আৰম্ভ,noun
কৰা,root verb
হৈছিল,noun
বিশ্বৰ,noun
কেৱল,noun
এই,pronoun
বিশ্ববিদ্যালয়তেই,noun
চাহ,preposition
প্ৰযুক্তিবিদ্যা,adjective
বিষয়ত,noun
স্নাতক,noun
আৰু,noun
স্নাতকোত্তৰ,noun
পৰ্য্যায়ৰ,preposition
শিক্ষা,noun
প্ৰদান,noun
কৰা,root verb
হয়,preposition
ছশৰো,noun
অধিক,adjective
শিক্ষক,adjective
গৱেষক,noun
আৰু,noun
সম্প্ৰসাৰণ,noun
বিশেষজ্ঞই,noun
এই,pronoun
বিশ্ববিদ্যালয়ৰ,noun
যোগেদি,noun
কৃষি,noun
আৰু,noun
পশু,noun
চিকিৎসা,adjective
বিজ্ঞানৰ,noun
বিভিন্ন,noun
বিষয়ত,noun
সেৱা,noun
আগবঢ়াই,adjective
আছে,preposition
এই,pronoun
বিশ্ববিদ্যালয়ৰ,noun
অধীনত,adjective
অসমৰ,noun
ছটা,noun
কৃষি,noun
অঞ্চলতে,adjective
একোটাকৈ,adjective
আঞ্চলিক,adjective
কৃষি,noun
গৱেষণা,noun
কেন্দ্ৰ,adjective
আছে,preposition
তিতাবৰ,noun
উজনি,noun
ব্ৰহ্মপুত্ৰ,adjective
উপত্যকা,adjective
অঞ্চল,noun
উত্তৰ,adjective
লক্ষিমপুৰ,noun
উত্তৰ,adjective
পাৰৰ,noun
সমতল,noun
অঞ্চল,noun
শ্বিলঙিনী,adjective
মধ্য,noun
ব্ৰহ্মপুত্ৰ,adjective
উপত্যকা,adjective
অঞ্চল,noun
ডিফু,noun
পাৰ্বত্য,noun
অঞ্চল,noun
গোঁসাইগাঁও,noun
নামনি,noun
ব্ৰহ্মপুত্ৰ,adjective
উপত্যকা,adjective
অঞ্চল,noun
কৰিমগঞ্জ,noun
বৰাক,noun
উপত্যকা,adjective
অঞ্চল,noun
এই,pronoun
বিশ্ববিদ্যালয়ৰ,noun
দ্বাৰা,noun
অসমৰ,noun
প্ৰতিখন,noun
জিলাতে,adjective
কৃষি,noun
বিজ্ঞান,noun
কেন্দ্ৰ,adjective
একোটাকৈ,adjective
স্থাপন,noun
কৰা,root verb
হৈছে,verb
যোৰহাট,noun
বিজ্ঞান,noun
আৰু,noun
প্ৰযুক্তিবিদ্যা,adjective
প্ৰতিষ্ঠান,noun
অসম,noun
চৰকাৰৰ,noun
দ্বাৰা,noun
চনত,noun
যোৰহাট,noun
জিলাত,noun
প্ৰতিষ্ঠা,noun
কৰা,root verb
হয়,preposition
জিলাখনৰ,noun
বিজ্ঞান,noun
উচ্চ,root verb
শিক্ষাৰ,adjective
অন্যতম,adjective
কেন্দ্ৰস্থল,pronoun
হ’ল,noun
এই,pronoun
প্ৰতিষ্ঠানটো,noun
যোৰহাট,noun
নগৰীৰ,noun
উপকন্থৰ,noun
চটাইত,noun
অৱস্থিত,adverb
ইয়াৰ,noun
ৰয়েল,noun
কম্বিনেচনৰ,adjective
গণিত,noun
পদাৰ্থ,noun
বিজ্ঞান,noun
ৰসায়ন,noun
বিজ্ঞান,noun
একেলগে,adjective
বাবে,root verb
জনাজাত,noun
আছিল,noun
বৰ্ষৰ,noun
পৰা,root verb
ইয়াত,noun
ইলেকট্ৰনিকছ,noun
এণ্ড,noun
কমিউনিকেশ্বন,adjective
ইঞ্জিনিয়াৰিং,noun
আৰু,noun
পাৱাৰ,noun
ইলেকট্ৰনিকছ,noun
আৰু,noun
ইন্সট্ৰুমেন্টেশ্যন,adjective
ইঞ্জিনিয়াৰিং,noun
‌এই,preposition
দুটা,noun
অভিযান্ত্ৰিক,adjective
পাঠ্যক্ৰম,adjective
আৰম্ভ,noun
কৰি,noun
ইয়াক,noun
যোৰহাট,noun
বিজ্ঞান,noun
আৰু,noun
প্ৰযুক্তিবিদ্যা,adjective
প্ৰতিষ্ঠান,noun
হিচাপে,noun
নামাকৰণ,noun
কৰা,root verb
হৈছে,verb
এই,pronoun
অভিযান্ত্ৰিক,adjective
পাঠ্যক্ৰমসমূহ,adjective
এ.আই.চি.টি.ই,pronoun
অৰ,noun
মান্যতাপ্ৰাপ্ত,noun
এই,pronoun
প্ৰতিষ্ঠানটো,noun
ডিব্ৰুগড়,noun
বিশ্ববিদ্যালয়ৰ,noun
অধীনৰ,adjective
যোৰহাট,noun
বিজ্ঞান,noun
আৰু,noun
প্ৰযুক্তিবিদ্যা,adjective
প্ৰতিষ্ঠান,noun
নং,noun
ৰাষ্ট্ৰীয়,adjective
ঘাইপথৰ,noun
দাঁতিতে,adverb
অৱস্থিত,adverb
এই,pronoun
প্ৰতিষ্ঠানটো,noun
যোৰহাট,noun
জিলাৰ,noun
সদৰ,noun
যোৰহাট,noun
নগৰৰ,noun
পৰা,root verb
প্ৰায়,noun
পূৱে,adverb
প্ৰায়,noun
ন,noun
কি.মি.,noun
দূৰত,noun
অৱস্থিত,adverb
ছাত্ৰ,noun
ছাত্ৰী,noun
আৰু,noun
শিক্ষকসকলৰ,adjective
বাবে,root verb
মহাবিদ্যালয়খনত,adjective
এটা,noun
লাইব্ৰেৰী,noun
আছে,preposition
ইয়াত,noun
পাঠ্যক্ৰমৰ,adjective
লগত,adjective
জড়িত,adjective
পুথিৰ,noun
লগতে,adjective
অন্যান্য,adjective
বিষয়ৰো,noun
প্ৰায়,noun
অধিক,adjective
কিতাপ,noun
লাইব্ৰেৰীটোত,adverb
আছে,preposition
ইয়াত,noun
বিজ্ঞানৰ,noun
পত্ৰিকা,adjective
মাহেকীয়া,adjective
আলোচনী,adjective
আৰু,noun
দৈনিক,adverb
বাতৰি,preposition
কাকত,noun
পঢ়াৰো,noun
সুবিধা,adjective
আছে,preposition
ছাত্ৰ,noun
ছাত্ৰী,noun
আৰু,noun
শিক্ষকসকলৰ,adjective
বাবে,root verb
উন্নত,noun
মানদণ্ডৰ,noun
এটা,noun
কম্পিউটাৰ,adjective
কেন্দ্ৰ,adjective
ইয়াত,noun
প্ৰতিষ্ঠা,noun
কৰা,root verb
হৈছে,verb
এই,pronoun
কেন্দ্ৰটো,adjective
প্ৰয়োগশালা,noun
আৰু,noun
প্ৰজেক্টৰ,noun
লগত,adjective
জড়িত,adjective
কাৰ্য্যত,adjective
ব্যৱহাৰ,noun
কৰা,root verb
হয়,preposition
মহাবিদ্যালয়ত,adjective
নিম্নোক্ত,noun
শাখাসমূহত,noun
শিক্ষা,noun
আৰু,noun
স্নাতক,noun
ডিগ্ৰী,noun
প্ৰদান,noun
কৰা,root verb
হয়,preposition
যোৰহাট,noun
বিজ্ঞান,noun
আৰু,noun
প্ৰযুক্তিবিদ্যা,adjective
প্ৰতিষ্ঠানত,noun
নিম্নোলিখিত,noun
বিভাগকেইটা,noun
আছে,preposition
ইলেকট্ৰনিকছ,noun
এণ্ড,noun
কমিউনিকেশ্বন,adjective
ইঞ্জিনিয়াৰিং,noun
পাৱাৰ,noun
ইলেকট্ৰনিকছ,noun
আৰু,noun
ইন্সট্ৰুমেন্টেশ্যন,adjective
ইঞ্জিনিয়াৰিং,noun
